timestamp,pod,cpu_m,mem_mi
1788202215,s3-79b96b87f7-8n5lq,17,117
1788202220,gw-nginx-554c75559c-97p9m,2,7
1788202220,s0-7858bb7b56-4c22f,40,122
1788202220,s1-7d66c7d4c5-97jlk,33,121
1788202220,s2-5f46b67bc6-pswkd,75,117
1788202220,s3-79b96b87f7-8n5lq,17,117
1788202225,gw-nginx-554c75559c-97p9m,2,7
1788202225,s0-7858bb7b56-4c22f,40,122
1788202225,s1-7d66c7d4c5-97jlk,33,121
1788202225,s2-5f46b67bc6-pswkd,75,117
1788202225,s3-79b96b87f7-8n5lq,17,117
1788202230,gw-nginx-554c75559c-97p9m,2,7
1788202230,s0-7858bb7b56-4c22f,40,122
1788202230,s1-7d66c7d4c5-97jlk,33,121
1788202230,s2-5f46b67bc6-pswkd,75,117
1788202230,s3-79b96b87f7-8n5lq,17,117
1788202235,gw-nginx-554c75559c-97p9m,2,7
1788202235,s0-7858bb7b56-4c22f,33,122
1788202235,s1-7d66c7d4c5-97jlk,26,121
1788202235,s2-5f46b67bc6-pswkd,61,117
1788202235,s3-79b96b87f7-8n5lq,16,118
1788202240,gw-nginx-554c75559c-97p9m,2,7
1788202240,s0-7858bb7b56-4c22f,33,122
1788202240,s1-7d66c7d4c5-97jlk,26,121
1788202240,s2-5f46b67bc6-pswkd,61,117
1788202240,s3-79b96b87f7-8n5lq,16,118
1788202245,gw-nginx-554c75559c-97p9m,2,7
1788202245,s0-7858bb7b56-4c22f,33,122
1788202245,s1-7d66c7d4c5-97jlk,26,121
1788202245,s2-5f46b67bc6-pswkd,61,117
1788202245,s3-79b96b87f7-8n5lq,16,118
1788202250,gw-nginx-554c75559c-97p9m,3,7
1788202250,s0-7858bb7b56-4c22f,38,122
1788202250,s1-7d66c7d4c5-97jlk,35,122
1788202250,s2-5f46b67bc6-pswkd,42,117
1788202250,s3-79b96b87f7-8n5lq,17,117
1788202255,gw-nginx-554c75559c-97p9m,3,7
1788202255,s0-7858bb7b56-4c22f,38,122
1788202255,s1-7d66c7d4c5-97jlk,35,122
1788202255,s2-5f46b67bc6-pswkd,42,117
1788202255,s3-79b96b87f7-8n5lq,17,117
1788202260,gw-nginx-554c75559c-97p9m,3,7
1788202260,s0-7858bb7b56-4c22f,38,122
1788202260,s1-7d66c7d4c5-97jlk,35,122
1788202260,s2-5f46b67bc6-pswkd,42,117
1788202260,s3-79b96b87f7-8n5lq,17,117
1788202265,gw-nginx-554c75559c-97p9m,2,7
1788202265,s0-7858bb7b56-4c22f,34,122
1788202265,s1-7d66c7d4c5-97jlk,27,122
1788202265,s2-5f46b67bc6-pswkd,38,117
1788202265,s3-79b96b87f7-8n5lq,17,117
1788202270,gw-nginx-554c75559c-97p9m,2,7
1788202270,s0-7858bb7b56-4c22f,34,122
1788202270,s1-7d66c7d4c5-97jlk,27,122
1788202270,s2-5f46b67bc6-pswkd,38,117
1788202270,s3-79b96b87f7-8n5lq,17,117
1788202275,gw-nginx-554c75559c-97p9m,2,7
1788202275,s0-7858bb7b56-4c22f,34,122
1788202275,s1-7d66c7d4c5-97jlk,27,122
1788202275,s2-5f46b67bc6-pswkd,38,117
1788202275,s3-79b96b87f7-8n5lq,17,117
1788202280,gw-nginx-554c75559c-97p9m,2,7
1788202280,s0-7858bb7b56-4c22f,38,122
1788202280,s1-7d66c7d4c5-97jlk,31,123
1788202280,s2-5f46b67bc6-pswkd,41,117
1788202280,s3-79b96b87f7-8n5lq,17,118
1788202285,gw-nginx-554c75559c-97p9m,2,7
1788202285,s0-7858bb7b56-4c22f,38,122
1788202285,s1-7d66c7d4c5-97jlk,31,123
1788202285,s2-5f46b67bc6-pswkd,41,117
1788202285,s3-79b96b87f7-8n5lq,17,118
1788202290,gw-nginx-554c75559c-97p9m,2,7
1788202290,s0-7858bb7b56-4c22f,38,122
1788202290,s1-7d66c7d4c5-97jlk,31,123
1788202290,s2-5f46b67bc6-pswkd,41,117
1788202290,s3-79b96b87f7-8n5lq,17,118
1788202295,gw-nginx-554c75559c-97p9m,3,7
1788202295,s0-7858bb7b56-4c22f,35,123
1788202295,s1-7d66c7d4c5-97jlk,26,122
1788202295,s2-5f46b67bc6-pswkd,35,117
1788202295,s3-79b96b87f7-8n5lq,17,118
1788202300,gw-nginx-554c75559c-97p9m,3,7
1788202300,s0-7858bb7b56-4c22f,35,123
1788202300,s1-7d66c7d4c5-97jlk,26,122
1788202300,s2-5f46b67bc6-pswkd,35,117
1788202300,s3-79b96b87f7-8n5lq,17,118
1788202305,gw-nginx-554c75559c-97p9m,3,7
1788202305,s0-7858bb7b56-4c22f,35,123
1788202305,s1-7d66c7d4c5-97jlk,26,122
1788202305,s2-5f46b67bc6-pswkd,35,117
1788202305,s3-79b96b87f7-8n5lq,17,118
1788202310,gw-nginx-554c75559c-97p9m,2,7
1788202310,s0-7858bb7b56-4c22f,35,124
1788202310,s1-7d66c7d4c5-97jlk,31,123
1788202310,s2-5f46b67bc6-pswkd,44,117
1788202310,s3-79b96b87f7-8n5lq,17,118
1788202315,gw-nginx-554c75559c-97p9m,2,7
1788202315,s0-7858bb7b56-4c22f,35,124
1788202315,s1-7d66c7d4c5-97jlk,31,123
1788202315,s2-5f46b67bc6-pswkd,44,117
1788202315,s3-79b96b87f7-8n5lq,17,118
1788202320,gw-nginx-554c75559c-97p9m,2,7
1788202320,s0-7858bb7b56-4c22f,35,124
1788202320,s1-7d66c7d4c5-97jlk,31,123
1788202320,s2-5f46b67bc6-pswkd,44,117
1788202320,s3-79b96b87f7-8n5lq,17,118
1788202326,gw-nginx-554c75559c-97p9m,3,7
1788202326,s0-7858bb7b56-4c22f,35,124
1788202326,s1-7d66c7d4c5-97jlk,27,124
1788202326,s2-5f46b67bc6-pswkd,39,117
1788202326,s3-79b96b87f7-8n5lq,15,119
1788202331,gw-nginx-554c75559c-97p9m,3,7
1788202331,s0-7858bb7b56-4c22f,35,124
1788202331,s1-7d66c7d4c5-97jlk,27,124
1788202331,s2-5f46b67bc6-pswkd,39,117
1788202331,s3-79b96b87f7-8n5lq,15,119
1788202336,gw-nginx-554c75559c-97p9m,3,7
1788202336,s0-7858bb7b56-4c22f,35,124
1788202336,s1-7d66c7d4c5-97jlk,27,124
1788202336,s2-5f46b67bc6-pswkd,39,117
1788202336,s3-79b96b87f7-8n5lq,15,119
1788202341,gw-nginx-554c75559c-97p9m,2,7
1788202341,s0-7858bb7b56-4c22f,39,124
1788202341,s1-7d66c7d4c5-97jlk,30,123
1788202341,s2-5f46b67bc6-pswkd,52,117
1788202341,s3-79b96b87f7-8n5lq,16,119
1788202346,gw-nginx-554c75559c-97p9m,2,7
1788202346,s0-7858bb7b56-4c22f,39,124
1788202346,s1-7d66c7d4c5-97jlk,30,123
1788202346,s2-5f46b67bc6-pswkd,52,117
1788202346,s3-79b96b87f7-8n5lq,16,119
1788202351,gw-nginx-554c75559c-97p9m,2,7
1788202351,s0-7858bb7b56-4c22f,39,124
1788202351,s1-7d66c7d4c5-97jlk,30,123
1788202351,s2-5f46b67bc6-pswkd,52,117
1788202351,s3-79b96b87f7-8n5lq,16,119
1788202356,gw-nginx-554c75559c-97p9m,3,6
1788202356,s0-7858bb7b56-4c22f,40,125
1788202356,s1-7d66c7d4c5-97jlk,38,124
1788202356,s2-5f46b67bc6-pswkd,42,117
1788202356,s3-79b96b87f7-8n5lq,21,120
1788202361,gw-nginx-554c75559c-97p9m,3,6
1788202361,s0-7858bb7b56-4c22f,40,125
1788202361,s1-7d66c7d4c5-97jlk,38,124
1788202361,s2-5f46b67bc6-pswkd,42,117
1788202361,s3-79b96b87f7-8n5lq,21,120
1788202366,gw-nginx-554c75559c-97p9m,3,6
1788202366,s0-7858bb7b56-4c22f,40,125
1788202366,s1-7d66c7d4c5-97jlk,38,124
1788202366,s2-5f46b67bc6-pswkd,42,117
1788202366,s3-79b96b87f7-8n5lq,21,120
1788202371,gw-nginx-554c75559c-97p9m,3,7
1788202371,s0-7858bb7b56-4c22f,38,125
1788202371,s1-7d66c7d4c5-97jlk,32,124
1788202371,s2-5f46b67bc6-pswkd,42,117
1788202371,s3-79b96b87f7-8n5lq,16,120
1788202376,gw-nginx-554c75559c-97p9m,3,7
1788202376,s0-7858bb7b56-4c22f,38,125
1788202376,s1-7d66c7d4c5-97jlk,32,124
1788202376,s2-5f46b67bc6-pswkd,42,117
1788202376,s3-79b96b87f7-8n5lq,16,120
1788202381,gw-nginx-554c75559c-97p9m,3,7
1788202381,s0-7858bb7b56-4c22f,38,125
1788202381,s1-7d66c7d4c5-97jlk,32,124
1788202381,s2-5f46b67bc6-pswkd,42,117
1788202381,s3-79b96b87f7-8n5lq,16,120
1788202386,gw-nginx-554c75559c-97p9m,2,7
1788202386,s0-7858bb7b56-4c22f,37,125
1788202386,s1-7d66c7d4c5-97jlk,28,124
1788202386,s2-5f46b67bc6-pswkd,52,117
1788202386,s3-79b96b87f7-8n5lq,15,120
