timestamp,pod,cpu_m,mem_mi
1788204049,gw-nginx-554c75559c-97p9m,8,7
1788204049,s0-7858bb7b56-4c22f,122,141
1788204049,s1-7d66c7d4c5-97jlk,100,140
1788204049,s2-5f46b67bc6-pswkd,183,122
1788204049,s3-79b96b87f7-8n5lq,54,134
1788204054,gw-nginx-554c75559c-97p9m,8,7
1788204054,s0-7858bb7b56-4c22f,122,141
1788204054,s1-7d66c7d4c5-97jlk,100,140
1788204054,s2-5f46b67bc6-pswkd,183,122
1788204054,s3-79b96b87f7-8n5lq,54,134
1788204059,gw-nginx-554c75559c-97p9m,8,7
1788204059,s0-7858bb7b56-4c22f,122,141
1788204059,s1-7d66c7d4c5-97jlk,100,140
1788204059,s2-5f46b67bc6-pswkd,183,122
1788204059,s3-79b96b87f7-8n5lq,54,134
1788204064,gw-nginx-554c75559c-97p9m,8,7
1788204064,s0-7858bb7b56-4c22f,120,141
1788204064,s1-7d66c7d4c5-97jlk,96,140
1788204064,s2-5f46b67bc6-pswkd,156,122
1788204064,s3-79b96b87f7-8n5lq,58,134
1788204069,gw-nginx-554c75559c-97p9m,8,7
1788204069,s0-7858bb7b56-4c22f,120,141
1788204069,s1-7d66c7d4c5-97jlk,96,140
1788204069,s2-5f46b67bc6-pswkd,156,122
1788204069,s3-79b96b87f7-8n5lq,58,134
1788204074,gw-nginx-554c75559c-97p9m,8,7
1788204074,s0-7858bb7b56-4c22f,120,141
1788204074,s1-7d66c7d4c5-97jlk,96,140
1788204074,s2-5f46b67bc6-pswkd,156,122
1788204074,s3-79b96b87f7-8n5lq,58,134
1788204079,gw-nginx-554c75559c-97p9m,8,8
1788204079,s0-7858bb7b56-4c22f,128,141
1788204079,s1-7d66c7d4c5-97jlk,98,141
1788204079,s2-5f46b67bc6-pswkd,156,122
1788204079,s3-79b96b87f7-8n5lq,54,134
1788204084,gw-nginx-554c75559c-97p9m,8,8
1788204084,s0-7858bb7b56-4c22f,128,141
1788204084,s1-7d66c7d4c5-97jlk,98,141
1788204084,s2-5f46b67bc6-pswkd,156,122
1788204084,s3-79b96b87f7-8n5lq,54,134
1788204089,gw-nginx-554c75559c-97p9m,8,8
1788204089,s0-7858bb7b56-4c22f,128,141
1788204089,s1-7d66c7d4c5-97jlk,98,141
1788204089,s2-5f46b67bc6-pswkd,156,122
1788204089,s3-79b96b87f7-8n5lq,54,134
1788204094,gw-nginx-554c75559c-97p9m,8,8
1788204094,s0-7858bb7b56-4c22f,134,141
1788204094,s1-7d66c7d4c5-97jlk,115,140
1788204094,s2-5f46b67bc6-pswkd,160,122
1788204094,s3-79b96b87f7-8n5lq,58,134
1788204099,gw-nginx-554c75559c-97p9m,8,8
1788204099,s0-7858bb7b56-4c22f,134,141
1788204099,s1-7d66c7d4c5-97jlk,115,140
1788204099,s2-5f46b67bc6-pswkd,160,122
1788204099,s3-79b96b87f7-8n5lq,58,134
1788204104,gw-nginx-554c75559c-97p9m,8,8
1788204104,s0-7858bb7b56-4c22f,134,141
1788204104,s1-7d66c7d4c5-97jlk,115,140
1788204104,s2-5f46b67bc6-pswkd,160,122
1788204104,s3-79b96b87f7-8n5lq,58,134
1788204109,gw-nginx-554c75559c-97p9m,8,8
1788204109,s0-7858bb7b56-4c22f,130,141
1788204109,s1-7d66c7d4c5-97jlk,112,141
1788204109,s2-5f46b67bc6-pswkd,160,122
1788204109,s3-79b96b87f7-8n5lq,56,134
1788204114,gw-nginx-554c75559c-97p9m,8,8
1788204114,s0-7858bb7b56-4c22f,130,141
1788204114,s1-7d66c7d4c5-97jlk,112,141
1788204114,s2-5f46b67bc6-pswkd,160,122
1788204114,s3-79b96b87f7-8n5lq,56,134
1788204119,gw-nginx-554c75559c-97p9m,8,8
1788204119,s0-7858bb7b56-4c22f,130,141
1788204119,s1-7d66c7d4c5-97jlk,112,141
