timestamp,pod,cpu_m,mem_mi
1788204833,s2-5f46b67bc6-pswkd,755,137
1788204833,s3-79b96b87f7-8n5lq,242,142
1788204838,gw-nginx-554c75559c-97p9m,23,8
1788204838,s0-7858bb7b56-4c22f,445,153
1788204838,s1-7d66c7d4c5-97jlk,335,153
1788204838,s2-5f46b67bc6-pswkd,755,137
1788204838,s3-79b96b87f7-8n5lq,242,142
1788204843,gw-nginx-554c75559c-97p9m,25,8
1788204843,s0-7858bb7b56-4c22f,458,153
1788204843,s1-7d66c7d4c5-97jlk,395,152
1788204843,s2-5f46b67bc6-pswkd,778,137
1788204843,s3-79b96b87f7-8n5lq,278,142
1788204848,gw-nginx-554c75559c-97p9m,25,8
1788204848,s0-7858bb7b56-4c22f,458,153
1788204848,s1-7d66c7d4c5-97jlk,395,152
1788204848,s2-5f46b67bc6-pswkd,778,137
1788204848,s3-79b96b87f7-8n5lq,278,142
1788204853,gw-nginx-554c75559c-97p9m,25,8
1788204853,s0-7858bb7b56-4c22f,458,153
1788204853,s1-7d66c7d4c5-97jlk,395,152
1788204853,s2-5f46b67bc6-pswkd,778,137
1788204853,s3-79b96b87f7-8n5lq,278,142
1788204858,gw-nginx-554c75559c-97p9m,23,8
1788204858,s0-7858bb7b56-4c22f,445,154
1788204858,s1-7d66c7d4c5-97jlk,402,153
1788204858,s2-5f46b67bc6-pswkd,794,137
1788204858,s3-79b96b87f7-8n5lq,258,143
1788204863,gw-nginx-554c75559c-97p9m,23,8
1788204863,s0-7858bb7b56-4c22f,445,154
1788204863,s1-7d66c7d4c5-97jlk,402,153
1788204863,s2-5f46b67bc6-pswkd,794,137
1788204863,s3-79b96b87f7-8n5lq,258,143
1788204868,gw-nginx-554c75559c-97p9m,23,8
1788204868,s0-7858bb7b56-4c22f,445,154
1788204868,s1-7d66c7d4c5-97jlk,402,153
1788204868,s2-5f46b67bc6-pswkd,794,137
1788204868,s3-79b96b87f7-8n5lq,258,143
1788204874,gw-nginx-554c75559c-97p9m,23,8
1788204874,s0-7858bb7b56-4c22f,438,153
1788204874,s1-7d66c7d4c5-97jlk,411,153
1788204874,s2-5f46b67bc6-pswkd,794,137
1788204874,s3-79b96b87f7-8n5lq,268,143
1788204879,gw-nginx-554c75559c-97p9m,23,8
1788204879,s0-7858bb7b56-4c22f,438,153
