timestamp,pod,cpu_m,mem_mi
1788205287,gw-nginx-554c75559c-97p9m,9,8
1788205287,s0-7858bb7b56-4c22f,371,157
1788205287,s1-7d66c7d4c5-97jlk,44,156
1788205287,s2-5f46b67bc6-pswkd,782,141
1788205287,s3-79b96b87f7-8n5lq,189,146
1788205292,gw-nginx-554c75559c-97p9m,9,8
1788205292,s0-7858bb7b56-4c22f,371,157
1788205292,s1-7d66c7d4c5-97jlk,44,156
1788205292,s2-5f46b67bc6-pswkd,782,141
1788205292,s3-79b96b87f7-8n5lq,189,146
1788205297,gw-nginx-554c75559c-97p9m,8,8
1788205297,s0-7858bb7b56-4c22f,95,157
1788205297,s1-7d66c7d4c5-97jlk,77,156
1788205297,s2-5f46b67bc6-pswkd,151,140
1788205297,s3-79b96b87f7-8n5lq,50,146
1788205302,gw-nginx-554c75559c-97p9m,8,8
1788205302,s0-7858bb7b56-4c22f,95,157
1788205302,s1-7d66c7d4c5-97jlk,77,156
1788205302,s2-5f46b67bc6-pswkd,151,140
1788205302,s3-79b96b87f7-8n5lq,50,146
1788205307,gw-nginx-554c75559c-97p9m,8,8
1788205307,s0-7858bb7b56-4c22f,95,157
1788205307,s1-7d66c7d4c5-97jlk,77,156
1788205307,s2-5f46b67bc6-pswkd,151,140
1788205307,s3-79b96b87f7-8n5lq,50,146
1788205312,gw-nginx-554c75559c-97p9m,21,8
1788205312,s0-7858bb7b56-4c22f,95,157
1788205312,s1-7d66c7d4c5-97jlk,306,157
1788205312,s2-5f46b67bc6-pswkd,151,140
1788205312,s3-79b96b87f7-8n5lq,250,146
1788205317,gw-nginx-554c75559c-97p9m,21,8
1788205317,s0-7858bb7b56-4c22f,95,157
1788205317,s1-7d66c7d4c5-97jlk,306,157
1788205317,s2-5f46b67bc6-pswkd,151,140
1788205317,s3-79b96b87f7-8n5lq,250,146
1788205322,gw-nginx-554c75559c-97p9m,21,8
1788205322,s0-7858bb7b56-4c22f,95,157
1788205322,s1-7d66c7d4c5-97jlk,306,157
1788205322,s2-5f46b67bc6-pswkd,151,140
